OBJECTID_1,NEIGHBOURHOOD_NAME,HOOD_158,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,ASSAULT_2024,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,ASSAULT_RATE_2024,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_2024,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,AUTOTHEFT_RATE_2024,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BIKETHEFT_2024,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BIKETHEFT_RATE_2024,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_2024,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,BREAKENTER_RATE_2024,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,HOMICIDE_2024,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,HOMICIDE_RATE_2024,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,ROBBERY_2024,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,ROBBERY_RATE_2024,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,SHOOTING_2024,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,SHOOTING_RATE_2024,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_2024,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTFROMMV_RATE_2024,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023,THEFTOVER_2024,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,THEFTOVER_RATE_2024,POPULATION_2024,Shape__Area,Shape__Length
1,South Eglinton-Davisville,174,55,56,66,73,74,62,74,106,122,100,124,301.1718445,304.9112549,343.0175171,358.8281555,345.7782288,276.304657,315.2692566,429.5497742,479.239502,373.4687805,452.505188,2,4,3,8,15,8,14,15,10,20,16,10.95170307,21.77937508,15.59170532,39.3236351,70.09017944,35.65221405,59.64553452,60.78534698,39.2819252,74.6937561,58.38776779,14,19,27,33,29,42,92,33,16,37,21,76.66191864,103.452034,140.3253479,162.2099915,135.5076904,187.174118,391.9563599,133.7277679,62.85108185,138.1834412,76.63394165,27,32,25,37,48,83,69,44,24,43,52,147.8479919,174.2350006,129.9308777,181.8718109,224.2885895,369.8916931,293.9672852,178.3036804,94.27662659,160.591568,189.7602386,0,0,1,0,0,1,1,1,0,0,0,0,0,5.197235107,0,0,4.456526756,4.260395527,4.052356243,0,0,0,10,8,8,7,12,5,16,9,15,3,16,54.7585144,43.55875015,41.57788086,34.40818024,56.07214737,22.28263283,68.16632843,36.47120667,58.92288971,11.20406342,58.38776779,1,0,1,0,1,0,1,0,1,0,2,5.475851536,0,5.197235107,0,4.672678947,0,4.260395527,0,3.928192616,0,7.298470974,13,18,11,16,18,24,41,22,42,40,25,71.18606567,98.00718689,57.16958618,78.6472702,84.10822296,106.9566345,174.6762085,89.15184021,164.9840851,149.3875122,91.23088837,4,3,4,1,3,3,4,6,3,8,6,21.90340614,16.33453178,20.78894043,4.915454388,14.01803684,13.36957932,17.04158211,24.31413841,11.78457832,29.87750244,21.89541245,27403,944309.0327,4005.549887
2,North Toronto,173,53,57,47,61,66,84,80,118,136,105,128,455.7571716,492.3130188,406.3283386,485.3596497,485.3298035,573.8096924,510.3017273,703.0924072,765.9382935,550.0838013,642.3445435,7,1,2,2,4,4,12,14,10,18,9,60.19434357,8.637070656,17.2905674,15.91343117,29.41392708,27.32427025,76.54525757,83.4177475,56.31899261,94.30008698,45.16485214,8,13,9,14,18,22,52,23,12,22,14,68.79353333,112.2819138,77.80755615,111.3940201,132.3626709,150.283493,331.696106,137.0434418,67.58278656,115.255661,70.25643921,25,44,15,24,42,36,89,49,48,31,31,214.9797974,380.0310974,129.6792603,190.9611664,308.8462524,245.9184418,567.7106323,291.9620972,270.3311462,162.4057007,155.5678253,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.831067562,6.378771305,0,0,0,0,7,12,8,6,14,19,3,12,12,14,18,60.19434357,103.6448441,69.16226959,47.7402916,102.9487457,129.7902832,19.13631439,71.50092316,67.58278656,73.34451294,90.32970428,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,6.831067562,0,5.958410263,5.63189888,0,5.018316746,23,7,15,14,8,18,26,16,24,40,11,197.7814026,60.45949173,129.6792603,111.3940201,58.82785416,122.9592209,165.848053,95.33456421,135.1655731,209.5557404,55.20148468,2,3,2,2,5,4,7,2,4,7,6,17.19838333,25.91121101,17.2905674,15.91343117,36.76741028,27.32427025,44.65140152,11.91682053,22.52759552,36.67225647,30.10990143,19927,402030.8184,2543.945884
3,Dovercourt Village,172,62,65,92,105,106,113,91,115,103,104,120,456.1506653,481.4101563,680.4230347,783.640564,798.6137085,859.8386841,698.4955444,883.3922119,781.6650391,764.4810181,876.6802979,10,13,18,15,12,13,24,10,25,27,36,73.57269287,96.28203583,133.1262512,111.9486542,90.40910339,98.91949463,184.2186127,76.81671906,189.7245178,198.4710388,263.0040894,29,35,55,47,30,27,32,27,20,38,34,213.3607941,259.2208557,406.7746582,350.7724609,226.0227509,205.4481812,245.6248016,207.4051361,151.7796173,279.3296204,248.392746,38,22,38,39,50,83,47,19,33,46,45,279.5762329,162.9388275,281.0443115,291.0664978,376.7045898,631.5629272,360.7614441,145.9517517,250.4363708,338.1358337,328.755127,1,0,0,1,0,2,1,0,0,0,0,7.35726881,0,0,7.463243484,0,15.21838379,7.675775051,0,0,0,0,29,27,16,42,35,17,16,22,14,21,12,213.3607941,199.9703674,118.3344421,313.4562378,263.6932068,129.3562622,122.8124008,168.9967804,106.2457275,154.3663635,87.66802979,0,0,2,0,0,0,0,2,0,1,2,0,0,14.79180527,0,0,0,0,15.36334324,0,7.350779057,14.61133862,45,38,51,43,87,79,68,18,29,25,22,331.0771179,281.4397888,377.19104,320.9194641,655.4660034,601.1261597,521.9526978,138.2700806,220.0804443,183.7694855,160.7247162,5,3,5,3,4,4,3,2,4,3,7,36.78634644,22.2189312,36.97951508,22.38973045,30.1363678,30.43676758,23.02732658,15.36334324,30.3559227,22.05233765,51.13968277,13688,1503002.177,4965.496448
4,Junction-Wallace Emerson,171,164,159,171,161,163,186,171,182,138,230,195,698.258606,667.0302734,698.3297119,657.3843384,665.333252,758.9049072,696.8782959,734.9971924,541.7288208,860.0059814,713.553894,21,17,12,18,32,25,44,34,47,35,45,89.41116333,71.31769562,49.00559616,73.49638367,130.617569,102.0033493,179.3137207,137.3071594,184.5018463,130.8704681,164.666275,42,41,50,63,67,70,54,36,34,55,41,178.8223267,172.0015106,204.1899719,257.2373657,273.4805603,285.609375,220.0668335,145.3840637,133.4694214,205.6536102,150.0292816,37,46,41,51,91,103,110,76,56,82,77,157.5339508,192.9773102,167.4357758,208.2397614,371.4437256,420.2537842,448.2843018,306.9219055,219.8319855,306.6108398,281.7622986,1,3,0,1,0,1,0,0,0,0,0,4.257674694,12.58547592,0,4.083132744,0,4.080133915,0,0,0,0,0,26,30,27,30,22,32,23,11,20,18,12,110.6995392,125.8547668,110.2625885,122.4939804,89.79958344,130.5642853,93.7321701,44.42290497,78.5114212,67.3048172,43.91100693,0,2,1,5,3,2,4,4,3,2,0,0,8.390317917,4.083799362,20.41566277,12.24539757,8.16026783,16.30124664,16.1537838,11.77671337,7.478312969,0,74,26,48,72,153,124,144,53,63,58,71,315.0679016,109.0741272,196.0223846,293.9855347,624.5152588,505.9365845,586.8449097,214.0376434,247.3109894,216.8710785,259.8067932,5,5,6,6,9,4,9,8,8,9,13,21.28837204,20.97579384,24.50279808,24.49879456,36.73619461,16.32053566,36.67780685,32.3075676,31.40456963,33.6524086,47.57025909,27328,2222866.733,7435.192384
5,Yonge-Bay Corridor,170,387,521,481,602,576,660,377,325,441,542,556,3750,4761.904785,4127.692383,4989.639648,4621.680176,5131.39502,2841.637207,2359.34668,3017.654297,3433.422119,3355.866699,12,20,20,14,27,38,14,16,29,46,37,116.279068,182.798645,171.6296234,116.0381241,216.6412506,295.4439392,105.5249863,116.1524506,198.4398499,291.3974304,223.3220673,220,154,202,214,263,220,172,167,229,228,192,2131.782959,1407.549561,1733.459229,1773.725708,2110.246338,1710.464966,1296.449829,1212.341187,1566.990601,1444.317749,1158.860474,69,115,60,125,99,119,148,112,123,108,94,668.6046753,1051.092163,514.888855,1036.054688,794.3512573,925.2060547,1115.549805,813.0671387,841.6586914,684.1505127,567.3587646,1,2,0,0,1,2,0,1,1,1,1,9.689922333,18.27986526,0,0,8.023750305,15.54968166,0,7.25952816,6.84275341,6.33472681,6.035731316,72,52,73,86,90,63,55,50,55,60,65,697.6744385,475.2764893,626.4481201,712.8056641,722.1375122,489.8149719,414.562439,362.9764099,376.3514404,380.0836182,392.3225403,1,3,0,3,4,4,2,0,1,2,1,9.689922333,27.4197979,0,24.86531258,32.09500122,31.09936333,15.0749979,0,6.84275341,12.66945362,6.035731316,120,102,77,86,112,171,135,63,107,76,77,1162.790649,932.2730713,660.7740479,712.8056641,898.6600342,1329.497803,1017.562378,457.3502808,732.1746216,481.4392395,464.7513428,37,30,27,35,44,63,35,26,51,52,48,358.5271301,274.1979675,231.6999969,290.0953064,353.0450134,489.8149719,263.8124695,188.7477264,348.9804382,329.4057922,289.7151184,16568,1118724.546,4811.107669
6,Bay-Cloverhill,169,107,101,122,155,136,166,106,146,122,141,122,764.0673828,691.9229736,795.9290161,965.5516357,812.425354,954.0230103,588.006897,779.0405884,611.4368896,648.8724976,533.2167969,6,4,6,7,15,13,9,23,14,16,8,42.84490204,27.40289116,39.1440506,43.60555649,89.60573578,74.71264648,49.92511368,122.7255783,70.16488647,73.63092804,34.96503448,76,86,97,100,100,66,59,58,67,56,44,542.7020874,589.1621704,632.8287964,622.9365234,597.371582,379.3103333,327.2868347,309.4818726,335.789093,257.708252,192.3076935,26,45,59,54,72,82,80,38,43,63,70,185.6612396,308.2825317,384.9165039,336.3857117,430.1075134,471.2643738,443.7787781,202.7639923,215.5064392,289.9217529,305.9440613,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.747126579,0,0,0,0,0,12,15,19,22,29,36,18,21,20,20,18,85.68980408,102.7608414,123.9561615,137.0460358,173.2377472,206.8965454,99.85022736,112.0537872,100.2355499,92.03865814,78.67132568,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5.973715782,0,0,0,5.011777878,4.601933002,0,38,24,25,18,32,33,35,21,26,40,61,271.3510437,164.4173431,163.1002045,112.1285706,191.158905,189.6551666,194.1532135,112.0537872,130.3062134,184.0773163,266.6083984,16,13,13,14,9,10,7,10,9,13,25,114.253067,89.05939484,84.8121109,87.21111298,53.76343918,57.47126389,38.8306427,53.35894394,45.10599899,59.82512665,109.2657318,22880,690548.7153,3359.583209
7,Bendale-Glen Andrew,156,137,149,174,168,183,204,134,129,166,242,197,734.9390869,787.6929321,876.1329346,844.6455688,919.7366333,1024.919556,673.2991943,643.359436,813.565979,1142.317627,919.6153564,35,37,42,25,39,35,46,76,84,150,123,187.7581635,195.6016083,211.4803619,125.6912994,196.0094452,175.8440552,231.1325531,379.0334778,411.6839905,708.0481567,574.1760864,10,7,4,23,2,3,1,4,6,10,14,53.64519119,37.0057106,20.1409874,115.6360016,10.0517664,15.07234764,5.024620533,19.9491291,29.40599823,47.20320892,65.3533783,71,33,30,27,33,30,20,19,24,28,23,380.8808594,174.4554901,151.0574036,135.7466125,165.8541565,150.7234802,100.4924164,94.75836945,117.6239929,132.1689911,107.3662567,0,0,2,0,0,1,1,0,2,0,2,0,0,10.0704937,0,0,5.024115562,5.024620533,0,9.802000046,0,9.336196899,53,55,49,67,44,35,19,49,54,52,55,284.319519,290.7591553,246.7270966,336.8526917,221.1388702,175.8440552,95.4677887,244.3768463,264.6539917,245.4566956,256.7453918,1,1,3,5,1,3,7,5,7,1,3,5.364519119,5.286530018,15.10574055,25.13825989,5.025883198,15.07234764,35.17234421,24.93641281,34.30699921,4.720321178,14.0042944,84,64,45,64,53,50,44,41,69,77,72,450.6195984,338.3379211,226.5861053,321.7697449,266.3718262,251.2057953,221.083313,204.4785767,338.1689758,363.4647217,336.1030579,6,8,8,17,13,8,4,7,13,20,18,32.18711472,42.29224014,40.28197479,85.47008514,65.33647919,40.1929245,20.09848213,34.91097641,63.71299744,94.40641785,84.02576447,21422,4913225.283,9230.799898
8,Downsview,155,111,125,128,133,121,138,124,138,141,203,208,703.5112305,792.2423706,807.6729126,806.5983276,708.97052,782.8898926,682.2183228,731.7073364,714.3942871,964.6455078,952.8609009,36,32,38,31,32,69,52,61,128,97,80,228.165802,202.8140411,239.7778931,188.0041199,187.4963379,391.4449463,286.0915527,323.4358521,648.5281372,460.9389954,366.4849548,7,4,9,4,9,8,5,6,4,8,8,44.36557388,25.35175514,56.78950119,24.25859642,52.73334503,45.38492203,27.50880241,31.81336212,20.26650429,38.01558685,36.64849472,30,33,28,26,42,37,45,28,32,74,30,190.1381683,209.1519775,176.6784515,157.6808777,246.0889435,209.9052582,247.5792236,148.4623566,162.1320343,351.644165,137.4318542,1,0,0,0,1,2,2,0,0,0,0,6.337938786,0,0,0,5.859260559,11.34623051,11.00352097,0,0,0,0,29,24,13,18,32,21,6,11,26,28,19,183.8002319,152.1105347,82.02928162,109.1636887,187.4963379,119.1354141,33.0105629,58.32449722,131.7322845,133.0545502,87.04017639,4,2,2,5,2,7,3,0,3,3,1,25.35175514,12.67587757,12.61988926,30.323246,11.71852112,39.71180725,16.50528145,0,15.19987869,14.25584507,4.58106184,60,50,61,51,62,72,76,56,64,70,50,380.2763367,316.8969421,384.9066162,309.2971191,363.2741699,408.4642944,418.1337891,296.9247131,324.2640686,332.6363831,229.0531006,5,11,3,12,3,7,10,5,15,17,14,31.68969536,69.71733093,18.92983437,72.77578735,17.57778168,39.71180725,55.01760483,26.5111351,75.99938965,80.7831192,64.13486481,21829,8282833.374,14053.30168
9,Oakdale-Beverley Heights,154,220,232,230,277,302,295,235,292,309,447,407,1081.772095,1144.153442,1135.410034,1342.509521,1438.369263,1379.92334,1081.255127,1312.536499,1344.764526,1846.649536,1642.188477,66,70,51,53,75,92,103,115,106,164,110,324.5316467,345.2187195,251.7648163,256.8700562,357.210907,430.3489685,473.9118347,516.923645,461.3108215,677.5179443,443.8347473,5,8,7,1,7,8,11,9,14,12,16,24.5857296,39.4535675,34.55595779,4.846604824,33.33968353,37.42164993,50.61194611,40.4548912,60.927845,49.57448578,64.5577774,57,43,24,32,44,80,44,63,50,88,58,280.2773132,212.0629272,118.477562,155.0913544,209.5637207,374.2164917,202.4477844,283.1842346,217.5994415,363.5462341,234.0219421,0,0,0,2,0,1,0,0,2,1,1,0,0,0,9.693209648,0,4.677706242,0,0,8.703977585,4.131206989,4.034861088,41,39,34,46,38,41,49,29,39,30,36,201.6029968,192.3361511,167.8432159,222.9438324,180.9868622,191.7859497,225.4532013,130.35466,169.7275696,123.9362106,145.2550049,4,4,3,6,7,3,5,9,7,6,8,19.66858482,19.72678375,14.80969524,29.0796299,33.33968353,14.03311825,23.00543022,40.4548912,30.4639225,24.78724289,32.2788887,75,41,43,62,117,119,158,113,105,73,92,368.7859497,202.1995392,212.2723083,300.489502,557.2490234,556.6470337,726.9715576,507.9336548,456.9588318,301.578125,371.2072449,10,4,8,9,11,7,14,18,19,23,15,49.1714592,19.72678375,39.49251938,43.6194458,52.39093018,32.74394226,64.41519928,80.90978241,82.68778992,95.01776123,60.5229187,24784,6685141.258,12397.49038
10,Avondale,153,32,31,37,44,65,40,41,49,36,49,51,249.3376923,228.9512482,259.5034485,307.541748,452.9932251,277.8935547,283.8745422,335.8694763,239.6166077,310.9136963,317.0852966,9,4,5,1,8,13,32,30,19,25,17,70.12622833,29.54209709,35.06803131,6.9895854,55.75301361,90.3154068,221.5606232,205.6343842,126.464325,158.6294403,105.6950989,3,7,14,20,6,12,37,20,27,9,8,23.37540817,51.69866943,98.19049072,139.7917175,41.81476212,83.36807251,256.1794739,137.0895844,179.7124634,57.1065979,49.73887253,11,9,7,11,13,13,13,17,8,19,21,85.70983124,66.46971893,49.09524536,76.88543701,90.59864807,90.3154068,90.00900269,116.5261536,53.24813461,120.5583725,130.5645294,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,76.66039276,0,6.923769474,0,6.656016827,0,0,2,3,1,6,7,3,9,6,1,6,12,15.58360577,22.15657234,7.013606548,41.93751144,48.78388596,20.84201813,62.31392288,41.12687683,6.656016827,38.07106781,74.60830688,1,0,0,1,0,0,1,0,0,1,0,7.791802883,0,0,6.9895854,0,0,6.923769474,0,0,6.34517765,0,8,6,14,9,8,22,36,25,40,64,21,62.33442307,44.31314468,98.19049072,62.90626907,55.75301361,152.8414612,249.2556915,171.3619843,266.2406921,406.0913696,130.5645294,2,1,5,5,5,4,3,5,9,5,3,15.58360577,7.385524273,35.06803131,34.94792938,34.84563446,27.78935623,20.77130699,34.27239609,59.90415192,31.72588921,18.65207672,16084,1031682.442,5253.848154
