OCC_YEAR,OCC_TIME_RANGE,NEIGHBOURHOOD_158
2004,Night,Pelmo Park-Humberlea (23)
2004,Night,NSA
2004,Night,Kensington-Chinatown (78)
2004,Afternoon,Kennedy Park (124)
2004,Evening,Malvern East (146)
2004,Evening,Malvern East (146)
2004,Afternoon,Rustic (28)
2004,Morning,Woburn North (142)
2004,Evening,Malvern West (145)
2004,Evening,Newtonbrook East (50)
2004,Evening,Morningside Heights (144)
2004,Morning,Danforth East York (59)
2004,Night,Malvern East (146)
2004,Night,Morningside (135)
2004,Afternoon,Woburn North (142)
2004,Evening,East L'Amoreaux (148)
2004,Night,Rustic (28)
2004,Night,Junction-Wallace Emerson (171)
2004,Night,Morningside Heights (144)
2004,Night,Malvern East (146)
2004,Evening,Yorkdale-Glen Park (31)
2004,Night,Dorset Park (126)
2004,Night,Oakwood Village (107)
2004,Morning,North Toronto (173)
2004,Evening,Agincourt South-Malvern West (128)
2004,Night,West Hill (136)
2004,Night,Rustic (28)
2004,Night,Clairlea-Birchmount (120)
2004,Night,Elms-Old Rexdale (5)
2004,Evening,Woburn North (142)
2004,Night,Kennedy Park (124)
2004,Evening,Oakdale-Beverley Heights (154)
2004,Evening,Black Creek (24)
2004,Evening,West Humber-Clairville (1)
2004,Night,Fenside-Parkwoods (150)
2004,Evening,Scarborough Village (139)
2004,Afternoon,Woburn North (142)
2004,Night,Briar Hill-Belgravia (108)
2004,Afternoon,Black Creek (24)
2004,Morning,Eglinton East (138)
2004,Morning,Golfdale-Cedarbrae-Woburn (141)
2004,Night,Bendale-Glen Andrew (156)
2004,Evening,East L'Amoreaux (148)
2004,Evening,Humber Heights-Westmount (8)
2004,Evening,East L'Amoreaux (148)
2004,Night,Kensington-Chinatown (78)
2004,Evening,Malvern East (146)
2004,Evening,Elms-Old Rexdale (5)
2004,Evening,East L'Amoreaux (148)
2004,Evening,South Parkdale (85)
2004,Night,Glenfield-Jane Heights (25)
2004,Night,Wellington Place (164)
2004,Morning,Black Creek (24)
2004,Night,Little Portugal (84)
2004,Night,Yonge-Bay Corridor (170)
2004,Afternoon,High Park-Swansea (87)
2004,Night,York University Heights (27)
2004,Evening,West Hill (136)
2004,Evening,West Hill (136)
2004,Night,Brookhaven-Amesbury (30)
2004,Evening,O'Connor-Parkview (54)
2004,Evening,Mount Olive-Silverstone-Jamestown (2)
2004,Night,Old East York (58)
2004,Night,Glenfield-Jane Heights (25)
2004,Afternoon,Glenfield-Jane Heights (25)
2004,Evening,Kensington-Chinatown (78)
2004,Night,Weston (113)
2004,Afternoon,Black Creek (24)
2004,Afternoon,Black Creek (24)
2004,Night,Woburn North (142)
2004,Evening,Mimico-Queensway (160)
2004,Night,Mount Olive-Silverstone-Jamestown (2)
2004,Afternoon,Downtown Yonge East (168)
2004,Night,Rockcliffe-Smythe (111)
2004,Night,Dufferin Grove (83)
2004,Evening,Regent Park (72)
2004,Evening,Maple Leaf (29)
2004,Night,West Humber-Clairville (1)
2004,Evening,West Humber-Clairville (1)
2004,Afternoon,Rockcliffe-Smythe (111)
2004,Night,Moss Park (73)
2004,Afternoon,Keelesdale-Eglinton West (110)
2004,Evening,Mount Olive-Silverstone-Jamestown (2)
2004,Evening,NSA
